,kgMid,name,musicAnalyticsSectionRenderer_content_trackTypes_trackViews_id
0,/g/11h0d3dnyr,Gabriel Diniz,Y:AgWUtFtSviE
1,/g/11c602sm4t,Zé Neto & Cristiano,Y:68DzEwBC2Cw
2,/g/11c54ch2hn,Márcia Fellipe,Y:j47F_UFQHm0
3,,Jerry Smith,Y:j47F_UFQHm0
4,/g/11b6_sq0s2,Mc Livinho,Y:lwp2e0tFtZM
5,/g/11b60z06t1,DENNIS,Y:sSoVIcYmkPY
6,/g/11c2pmz334,MC Kevinho,Y:sSoVIcYmkPY
7,/g/11g6k0gmj8,Felipe Araújo,Y:VXqoVg7ehsc
8,/g/11f4v4x7mq,Ferrugem,Y:VXqoVg7ehsc
9,,Pineapple StormTV,Y:nqbzCLL6LGs
10,,MC Cabelinho,Y:nqbzCLL6LGs
11,,Mode$Tia,Y:nqbzCLL6LGs
12,/g/11f126h_vb,Bob do Contra,Y:nqbzCLL6LGs
13,/g/11gff6wktm,Azzy,Y:nqbzCLL6LGs
14,/g/1yglpxkk0,Filipe Ret,Y:nqbzCLL6LGs
15,,Dudu,Y:nqbzCLL6LGs
16,/g/11c31yv9zh,Xamã,Y:nqbzCLL6LGs
17,/g/11bv2ph0yr,Orochi,Y:nqbzCLL6LGs
18,/g/11f4q3vd8y,Maquiny,Y:nqbzCLL6LGs
19,/g/11g0mh8knm,Enzo Rabelo,Y:P82cZhiHyVw
20,/m/0j9m6s7,Gusttavo Lima,Y:mBmEWavFk1I
21,/g/11f9w6dy53,MC L da Vinte,Y:KjM62Bvp744
22,/g/11f146x8gz,Mc Gury,Y:KjM62Bvp744
23,/g/11c2pmz334,MC Kevinho,Y:BmJNxhdwzx8
24,/g/11c2psj56j,MC Kekel,Y:BmJNxhdwzx8
25,/g/11cnnwp26d,Marília Mendonça,Y:byDnHe9VQYA
26,/g/11c1_gkggw,Simone & Simaria,Y:YxLdv8C4avk
27,/m/010wj70v,Ludmilla,Y:YxLdv8C4avk
28,/m/0gh91m8,Luan Santana,Y:kfOIKPq4YA8
29,/m/0j9m6s7,Gusttavo Lima,Y:HvWN2Xy5eNc
30,/g/11c602sm4t,Zé Neto & Cristiano,Y:Qk4JH4Vc8Qk
31,/g/11cnnwp26d,Marília Mendonça,Y:-6fPcSaUvJ4
32,/m/0nhb1jz,Humberto & Ronaldo,Y:ixbdH09WSgw
33,/m/0wtnl61,Henrique & Juliano,Y:IqYmZPfE9C8
34,/m/0j9m6s7,Gusttavo Lima,Y:58v1H58IxEY
35,/g/11cnnwp26d,Marília Mendonça,Y:LDClGMUBJzE
36,/g/11c602sm4t,Zé Neto & Cristiano,Y:BwHg2maLyXg
37,/g/1q6n2ftx2,Dilsinho,Y:9CcJ5kQYCpk
38,/g/11c602sm4t,Zé Neto & Cristiano,Y:B5WhTYUQGnA
39,/g/11gr6vzdh1,Melim,Y:MjHDSBCrLbI
40,/m/0124x5pq,Wesley Safadão,Y:4PCEEvzdm1c
41,/g/11f5vgp9qk,Mc Bruninho,Y:h5Y0D2TGYH4
42,/g/11f655yjcs,MC Vitinho Ferrari,Y:h5Y0D2TGYH4
43,/g/11cnnwp26d,Marília Mendonça,Y:J6yu9zcAxl8
44,,MC Kevin,Y:b6-iKAEa30A
45,/g/11c2pjlbrf,Mano Walter,Y:uPdZ0S66M58
46,/g/11c2lywr2r,MC Mirella,Y:QEzpYbdvo9A
47,/g/12tb7_98j,POCAH,Y:QEzpYbdvo9A
48,,MC Charada,Y:5oWWUbxlJKc
49,/g/11b7_v3lwg,Mc Dede,Y:5oWWUbxlJKc
50,/g/11fltsbh_d,Lauana Prado,Y:P_Llq_QkJOo
51,/g/11btz__j0s,Maiara & Maraisa,Y:P_Llq_QkJOo
52,/g/11f5vgp9qk,Mc Bruninho,Y:vbcDDt9e5RE
53,/g/11b6_sq0s2,Mc Livinho,Y:vbcDDt9e5RE
54,/m/0j9m6s7,Gusttavo Lima,Y:i8fgDIJLOA0
55,/m/0j9m6s7,Gusttavo Lima,Y:Flbb7kQnN9I
56,/g/11cnnwp26d,Marília Mendonça,Y:ReO6ouO_QIg
57,/g/11byhkk3nl,Lexa,Y:KDEPqwQhYNY
58,/g/11g9fl0gh5,MC Lan,Y:KDEPqwQhYNY
59,/g/11gr6vzdh1,Melim,Y:SuG2n1PbswA
60,/m/0124x5pq,Wesley Safadão,Y:rmxrwuV2EDk
61,/g/11h0zkvq71,Aldair Playboy,Y:rmxrwuV2EDk
62,/m/02k5sc,Maroon 5,Y:eoY2OkHztog
63,/g/11g9l_xksy,MC Don Juan,Y:ze_TWvjSzkI
64,/g/11h_cx894k,MC WM,Y:37-bazO9koQ
65,,MC Levin,Y:Mtd_8YW69gI
66,/g/11h9vqkc4h,Diego & Victor Hugo,Y:7jTskrMCYY4
67,/m/0j9l44h,Jorge & Mateus,Y:1FDn19C7Xyc
68,/g/11c602sm4t,Zé Neto & Cristiano,Y:PC3DC7b8wyY
69,/m/0j9m6s7,Gusttavo Lima,Y:HMOApugPRpM
70,/m/0dntv_d,Davi Sacer,Y:T0B6-hLwbHk
71,/g/11g9l_xksy,MC Don Juan,Y:fS3mNef3wrk
72,/g/11c602sm4t,Zé Neto & Cristiano,Y:HYQNxE5Ler8
73,/g/11f4v4x7mq,Ferrugem,Y:zXyPjjjE78c
74,/g/11b7_v3lwg,Mc Dede,Y:i0DeJ3jlIBk
75,,MC Menor MR,Y:i0DeJ3jlIBk
76,/g/11cnnwp26d,Marília Mendonça,Y:h1014P7S-OA
77,/g/11bvt5dbv2,Leandro Borges,Y:wXDO-Kut5qs
78,,ANALAGA,Y:jJmIo7pCopg
79,/g/11cn9rtzrb,João Gustavo & Murilo,Y:jJmIo7pCopg
80,/g/11cnnwp26d,Marília Mendonça,Y:tgwuHK-uyog
81,/g/11bv0tdh2n,MC PP da VS,Y:KE_u9V3P2F4
82,,MC Kevin o Chris,Y:2F5Y4Zbf1X4
83,,Jerry Smith,Y:MHqHWn_7btU
84,/g/11g7ks3ysy,Gloria Groove,Y:ms3RS0Jlet4
85,/g/11gfj5bltt,Aurelina Dourado,Y:9bxZYd3uHpI
86,/g/11fd7222l9,Luanna Dourado,Y:9bxZYd3uHpI
87,/g/11f122x7gd,MC Magal,Y:AMZ8-HGMCVQ
88,/g/11gn259b0w,Mc Alê,Y:Yc8NF3F8LOU
89,/g/11b7_snwcl,MC Rodolfinho,Y:Yc8NF3F8LOU
90,/g/12lqjt13t,Hungria Hip-Hop,Y:_qP10Ka0BXc
91,/g/11c2nn_kzf,Mc Th,Y:5S93gDIpnrU
92,,MC Menininho,Y:5S93gDIpnrU
93,,DJ Victor Falcao,Y:5S93gDIpnrU
94,/g/11g0mh8knm,Enzo Rabelo,Y:cXltU1LNy6A
95,/g/11b7_snwcl,MC Rodolfinho,Y:2bVWiSHfQbo
96,/g/11f10lszn1,Anitta,Y:hqfWehl63gc
97,/g/11byhkk3nl,Lexa,Y:5f1wacUTmF8
98,/m/0j9m6s7,Gusttavo Lima,Y:AwmrQLhO2pc
99,/m/01sz99q,Eduardo Costa,Y:6Vluz5gZKWc
100,/g/11f4v4x7mq,Ferrugem,Y:zGCbQoCcA1s
101,/g/11f4v4x7mq,Ferrugem,Y:nwIUI46Py1Q
102,/g/11fy_qdm4z,Luísa Sonza,Y:aTRPGEc2S3Y
103,/m/01w65jh,DJ Snake,Y:WMgx7zhKzt8
104,/g/11cnnwp26d,Marília Mendonça,Y:vssm0JZSP1E
105,,Ruanzinho,Y:u8EXUyruTNU
106,/m/0gh91m8,Luan Santana,Y:AFjQl6-puAI
107,/g/11bt_7r7wh,MC Hariel,Y:0Scra6jfn8A
108,/m/0j9m6s7,Gusttavo Lima,Y:rk6N9ptf6Bo
109,,Jerry Smith,Y:w-vX5_XUdyQ
110,/m/0124x5pq,Wesley Safadão,Y:eins4SxDDTk
111,,Alessandro Vilas Boas,Y:OqgXaloCM58
112,/g/11gc9g8dkg,IZA,Y:ySU2GaJKbxc
113,/m/0qjjymk,Cristiano Araújo,Y:3Xl541nNXj8
114,/g/11ghyk6np1,Vitor Kley,Y:TguSbAn4rJs
115,/g/11g6rmbwk8,Bruno Martini,Y:TguSbAn4rJs
116,/g/11c2psj56j,MC Kekel,Y:2huCS-0jqwI
117,/m/0wtnl61,Henrique & Juliano,Y:lXriGr9fwLs
118,/g/11c602sm4t,Zé Neto & Cristiano,Y:cHKB6SbN3D8
119,/g/11b7_vwf0c,MC Vinny,Y:_yqx2uh_c6k
120,/g/11b7_tz84z,Luma Elpidio,Y:rVdBjFFe2BY
121,/g/11dxf0ptqb,Preto no Branco,Y:YGTWV8snTts
122,/g/120xp55c,Zé Ramalho,Y:9VRSZDLVV24
123,/m/02qzcw3,Fagner,Y:9VRSZDLVV24
124,/m/09gkdy4,Ariana Grande,Y:MxonrvCJRyw
125,/g/11fkdz_yyw,Isadora Pompeo,Y:5-RiEGTePPk
126,/m/01pb7lz,Grupo Revelação,Y:3_WQEtYXT6s
127,/m/01qtf3z,Trio Parada Dura,Y:29MLdCKF6PY
128,,MC WM,Y:hIjuhGHXvR4
129,/g/11hzcy7yz_,MC Kevin o Chris,Y:pozMrssJ9eg
